room_id,label,path
but_Hotel_SkalskyDvur_ConferenceRoom2,conference_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID02_20170906_S/20/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_Hotel_SkalskyDvur_ConferenceRoom2,conference_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID03_20170906_S/05/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_Hotel_SkalskyDvur_ConferenceRoom2,conference_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID03_20170906_S/23/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_Hotel_SkalskyDvur_ConferenceRoom2,conference_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID01_20170906_S/23/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_Hotel_SkalskyDvur_ConferenceRoom2,conference_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/Hotel_SkalskyDvur_ConferenceRoom2/MicID01/SpkID02_20170906_S/25/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_C236,meeting_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_C236/MicID01/SpkID04_20190503_S/01/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_C236,meeting_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_C236/MicID01/SpkID07_20190503_S/14/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_C236,meeting_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_C236/MicID01/SpkID06_20190503_S/27/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_C236,meeting_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_C236/MicID01/SpkID10_20190503_S/31/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_C236,meeting_room,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_C236/MicID01/SpkID10_20190503_S/28/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L207,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L207/MicID01/SpkID05_20171229_S/26/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L207,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L207/MicID01/SpkID04_20171229_S/19/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L207,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L207/MicID01/SpkID05_20171229_S/03/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L207,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L207/MicID01/SpkID01_20171225_T/28/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L207,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L207/MicID01/SpkID02_20171227_S/30/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L212,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L212/MicID01/SpkID04_20170820_S/08/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L212,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L212/MicID01/SpkID01_20170818_T/20/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L212,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L212/MicID01/SpkID04_20170820_S/11/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L212,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L212/MicID01/SpkID04_20170820_S/18/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L212,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L212/MicID01/SpkID05_20170820_S/03/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_Q301,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_Q301/MicID01/SpkID04_20170915_S/21/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_Q301,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_Q301/MicID01/SpkID05_20170915_S/26/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_Q301,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_Q301/MicID01/SpkID05_20170915_S/10/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_Q301,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_Q301/MicID01/SpkID04_20170915_S/15/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_Q301,office,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_Q301/MicID01/SpkID01_20170910_T/13/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L227,staircase,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L227/MicID01/SpkID02_20180105_S/13/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L227,staircase,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L227/MicID01/SpkID08_20180105_S/23/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L227,staircase,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L227/MicID01/SpkID03_20180105_S/10/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
but_VUT_FIT_L227,staircase,data/raw/BUT_ReverbDB_rel_19_06_RIR-Only/VUT_FIT_L227/MicID01/SpkID07_20180105_S/31/RIR/IR_sweep_15s_45Hzto22kHz_FS16kHz.v00.wav
